specific_phenotype	label	phenotype
S67 Crushing injury of wrist and hand	S67.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S68 Traumatic amputation of wrist and hand	S68.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S69 Other and unspecified injuries of wrist and hand	S69.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S70 Superficial injury of hip and thigh	S70.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S72 Fracture of femur	S72.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S76 Injury of muscle and tendon at hip and thigh level	S76.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S80 Superficial injury of lower leg	S80.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S81 Open wound of lower leg	S81.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S82 Fracture of lower leg, including ankle"	S82.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S83 Dislocation, sprain and strain of joints and ligaments of knee"	S83.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S86 Injury of muscle and tendon at lower leg level	S86.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S89 Other and unspecified injuries of lower leg	S89.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S91 Open wound of ankle and foot	S91.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S92 Fracture of foot, except ankle"	S92.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S93 Dislocation, sprain and strain of joints and ligaments at ankle and foot level"	S93.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T14 Injury of unspecified body region	T14.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T17 Foreign body in respiratory tract	T17.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T18 Foreign body in alimentary tract	T18.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T39 Poisoning by nonopioid analgesics, antipyretics and antirheumatics"	T39.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T40 Poisoning by narcotics and psychodysleptics [hallucinogens]	T40.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T42 Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs"	T42.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T43 Poisoning by psychotropic drugs, not elsewhere classified"	T43.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T50 Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"	T50.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T78 Adverse effects, not elsewhere classified"	T78.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T79 Certain early complications of trauma, not elsewhere classified"	T79.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T81 Complications of procedures, not elsewhere classified"	T81.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T82 Complications of cardiac and vascular prosthetic devices, implants and grafts"	T82.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T83 Complications of genito-urinary prosthetic devices, implants and grafts"	T83.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T84 Complications of internal orthopaedic prosthetic devices, implants and grafts"	T84.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T85 Complications of other internal prosthetic devices, implants and grafts"	T85.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T86 Failure and rejection of transplanted organs and tissues	T86.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
T87 Complications peculiar to reattachment and amputation	T87.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"T88 Other complications of surgical and medical care, not elsewhere classified"	T88.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
Z00 General examination and investigation of persons without complaint or reported diagnosis	Z00.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z01 Other special examinations and investigations of persons without complaint or reported diagnosis	Z01.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z03 Medical observation and evaluation for suspected diseases and conditions	Z03.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z04 Examination and observation for other reasons	Z04.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z08 Follow-up examination after treatment for malignant neoplasm	Z08.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z09 Follow-up examination after treatment for conditions other than malignant neoplasms	Z09.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z11 Special screening examination for infectious and parasitic diseases	Z11.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z12 Special screening examination for neoplasms	Z12.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z13 Special screening examination for other diseases and disorders	Z13.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z29 Need for other prophylactic measures	Z29.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z30 Contraceptive management	Z30.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z31 Procreative management	Z31.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z34 Supervision of normal pregnancy	Z34.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z35 Supervision of high-risk pregnancy	Z35.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z36 Antenatal screening	Z36.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z39 Postpartum care and examination	Z39.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z40 Prophylactic surgery	Z40.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z41 Procedures for purposes other than remedying health state	Z41.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z42 Follow-up care involving plastic surgery	Z42.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z43 Attention to artificial openings	Z43.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z45 Adjustment and management of implanted device	Z45.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z46 Fitting and adjustment of other devices	Z46.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z47 Other orthopaedic follow-up care	Z47.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z48 Other surgical follow-up care	Z48.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z50 Care involving use of rehabilitation procedures	Z50.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z51 Other medical care	Z51.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z52 Donors of organs and tissues	Z52.tsv	Z00 - Z99 Factors influencing health status and contact with health services
"Z53 Persons encountering health services for specifie procedures, not carried out"	Z53.tsv	Z00 - Z99 Factors influencing health status and contact with health services
"Z71 Persons encountering health services for other counselling and medical advice, not elsewhere classified"	Z71.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z76 Persons encountering health services in other circumstances	Z76.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z80 Family history of malignant neoplasm	Z80.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z85 Personal history of malignant neoplasm	Z85.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Z87 Personal history of other diseases and conditions	Z87.tsv	Z00 - Z99 Factors influencing health status and contact with health services
Cisplatin-Induced Ototoxicity	PGxCisplatinGWAS.tsv	Pharmacogenomic
Antihypertensive-Induced New-Onset Diabetes	PGxDiabetesAntihypertensives.tsv	Pharmacogenomic
Allopurinol Response	PGxAllopurinolResponse.tsv	Pharmacogenomic
